x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39531700.0000000         3435100.0000000          100.0000000              5.86595126417765e-03     -1.02875545040366e+02    -4.00269756646116e+01    6.07441954175753e+02     
39531800.0000000         3435100.0000000          100.0000000              5.87650880087273e-03     -1.08192046725675e+02    -4.88848922561123e+01    6.16695272002943e+02     
39531900.0000000         3435100.0000000          100.0000000              5.88755785970411e-03     -1.12544309821265e+02    -5.95108585137914e+01    6.28243861350000e+02     
39532000.0000000         3435100.0000000          100.0000000              5.89895242371998e-03     -1.14925646748837e+02    -7.18693158145000e+01    6.42065974646259e+02     
39532100.0000000         3435100.0000000          100.0000000              5.91043829919051e-03     -1.14160496905156e+02    -8.58417007720773e+01    6.57820303751858e+02     
39532200.0000000         3435100.0000000          100.0000000              5.92164332901824e-03     -1.09207023003956e+02    -1.00672335602161e+02    6.74312672767922e+02     
39532300.0000000         3435100.0000000          100.0000000              5.93213036231142e-03     -9.98020446979938e+01    -1.15046260923493e+02    6.90273559587645e+02     
39532400.0000000         3435100.0000000          100.0000000              5.94145335750380e-03     -8.59145159274427e+01    -1.28061719250108e+02    7.04687709584711e+02     
39532500.0000000         3435100.0000000          100.0000000              5.94917949370415e-03     -6.79917669546652e+01    -1.38785164585660e+02    7.16274799095093e+02     
39532600.0000000         3435100.0000000          100.0000000              5.95493842056933e-03     -4.67127327190894e+01    -1.46316832084586e+02    7.23858169695746e+02     
39532700.0000000         3435100.0000000          100.0000000              5.95847237220359e-03     -2.40051610801928e+01    -1.49728202978779e+02    7.26001878976308e+02     
39532800.0000000         3435100.0000000          100.0000000              5.95977842397589e-03     -2.41853592813629e+00    -1.49044696621790e+02    7.23422910523847e+02     
39532900.0000000         3435100.0000000          100.0000000              5.95904076361815e-03     1.66607786760779e+01     -1.44799704641637e+02    7.17396638962615e+02     
