x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39532100.0000000         3434900.0000000          100.0000000              -4.69179992991828e-03    -1.02340994458574e+02    2.40184506001115e+02     -5.91298271250454e+02    
39532200.0000000         3434900.0000000          100.0000000              -4.68047190625222e-03    -1.25042798960122e+02    2.57952273883763e+02     -5.99471349102365e+02    
39532300.0000000         3434900.0000000          100.0000000              -4.66663655121091e-03    -1.52365576802355e+02    2.72156850814922e+02     -6.03976341459885e+02    
39532400.0000000         3434900.0000000          100.0000000              -4.64988034398410e-03    -1.83209852464141e+02    2.81427726395732e+02     -6.03648575687012e+02    
39532500.0000000         3434900.0000000          100.0000000              -4.62993446891309e-03    -2.15833731452069e+02    2.84740318068494e+02     -5.97741398981486e+02    
39532600.0000000         3434900.0000000          100.0000000              -4.60672992640622e-03    -2.47971721694254e+02    2.81559764062245e+02     -5.86008093123878e+02    
39532700.0000000         3434900.0000000          100.0000000              -4.58043139274395e-03    -2.77369680211020e+02    2.71992947105956e+02     -5.69037583702211e+02    
39532800.0000000         3434900.0000000          100.0000000              -4.55141553313137e-03    -3.02058574293253e+02    2.56860519771272e+02     -5.48031738257553e+02    
39532900.0000000         3434900.0000000          100.0000000              -4.52020772242107e-03    -3.21122210176770e+02    2.37531519512153e+02     -5.24613887932678e+02    
39533000.0000000         3434900.0000000          100.0000000              -4.48738864294113e-03    -3.34260241361143e+02    2.15290308854782e+02     -5.00053948574773e+02    
39533100.0000000         3434900.0000000          100.0000000              -4.45355353535750e-03    -3.41453262086779e+02    1.91316489424282e+02     -4.75438908612683e+02    
39533200.0000000         3434900.0000000          100.0000000              -4.41929297689586e-03    -3.42810391791382e+02    1.66927900922886e+02     -4.51784345596304e+02    
39533300.0000000         3434900.0000000          100.0000000              -4.38517062810906e-03    -3.38832944770449e+02    1.43199491320987e+02     -4.30218310700429e+02    
39533400.0000000         3434900.0000000          100.0000000              -4.35166928611279e-03    -3.30558280256945e+02    1.21128186040181e+02     -4.11533402064061e+02    
39533500.0000000         3434900.0000000          100.0000000              -4.31916520129415e-03    -3.19105589847078e+02    1.01442750607422e+02     -3.96302852884838e+02    
39533600.0000000         3434900.0000000          100.0000000              -4.28790983913684e-03    -3.05807513782981e+02    8.45843564615849e+01     -3.84790583937246e+02    
39533700.0000000         3434900.0000000          100.0000000              -4.25801991089648e-03    -2.91995639534683e+02    7.06392487821668e+01     -3.76830603914715e+02    
39533800.0000000         3434900.0000000          100.0000000              -4.22949598885861e-03    -2.78617061136155e+02    5.93976998947846e+01     -3.71917872494093e+02    
39533900.0000000         3434900.0000000          100.0000000              -4.20225887861404e-03    -2.66353840155663e+02    5.05129570656352e+01     -3.69492637066591e+02    
39534000.0000000         3434900.0000000          100.0000000              -4.17617812766015e-03    -2.55502993057689e+02    4.35859720144297e+01     -3.68880784173540e+02    
39534100.0000000         3434900.0000000          100.0000000              -4.15110658392035e-03    -2.46195194664436e+02    3.82995967149658e+01     -3.69643752103946e+02    
39534200.0000000         3434900.0000000          100.0000000              -4.12688707571498e-03    -2.38443837627068e+02    3.43846380911526e+01     -3.71319289204902e+02    
39534300.0000000         3434900.0000000          100.0000000              -4.10336907098583e-03    -2.32154952892560e+02    3.15896290035480e+01     -3.73596303307069e+02    
39534400.0000000         3434900.0000000          100.0000000              -4.08041033211008e-03    -2.27236354057180e+02    2.97150825114033e+01     -3.76185327441546e+02    
39534500.0000000         3434900.0000000          100.0000000              -4.05788380543592e-03    -2.23464113775640e+02    2.85327038376431e+01     -3.78843458407967e+02    
39534600.0000000         3434900.0000000          100.0000000              -4.03568338063884e-03    -2.20706279596756e+02    2.78482907429757e+01     -3.81519541333003e+02    
39534700.0000000         3434900.0000000          100.0000000              -4.01371433421123e-03    -2.18803113725898e+02    2.75449387135398e+01     -3.84073623203339e+02    
39534800.0000000         3434900.0000000          100.0000000              -3.99189872802821e-03    -2.17615569951114e+02    2.75061380687758e+01     -3.86477690024182e+02    
39534900.0000000         3434900.0000000          100.0000000              -3.97017093595177e-03    -2.17044671788282e+02    2.76257815347545e+01     -3.88757414779422e+02    
39535000.0000000         3434900.0000000          100.0000000              -3.94846926170149e-03    -2.17084458386935e+02    2.78241691527008e+01     -3.90867503272571e+02    
39531000.0000000         3435000.0000000          100.0000000              -4.77481922644648e-03    -7.15728110640203e+01    6.91671879985316e+01     -4.92676831484503e+02    
39531100.0000000         3435000.0000000          100.0000000              -4.76794961313085e-03    -6.57890127997847e+01    7.66453003165021e+01     -4.97733132445353e+02    
39531200.0000000         3435000.0000000          100.0000000              -4.76166179190153e-03    -5.99802185635555e+01    8.55661701570631e+01     -5.04035134433465e+02    
39531300.0000000         3435000.0000000          100.0000000              -4.75594837664373e-03    -5.43239840643003e+01    9.61925149744181e+01     -5.11611496444696e+02    
39531400.0000000         3435000.0000000          100.0000000              -4.75078801899877e-03    -4.89559085610868e+01    1.08782404849408e+02     -5.20658448855681e+02    
39531500.0000000         3435000.0000000          100.0000000              -4.74613372998649e-03    -4.43044760200952e+01    1.23537678020837e+02     -5.31529714022491e+02    
39531600.0000000         3435000.0000000          100.0000000              -4.74187517962967e-03    -4.11925106659755e+01    1.40626020335303e+02     -5.44359583412044e+02    
39531700.0000000         3435000.0000000          100.0000000              -4.73782031304192e-03    -4.03442985893308e+01    1.60091773220924e+02     -5.58968565881184e+02    
39531800.0000000         3435000.0000000          100.0000000              -4.73370126285466e-03    -4.26576641321319e+01    1.81751728481597e+02     -5.75305186432899e+02    
39531900.0000000         3435000.0000000          100.0000000              -4.72914034231453e-03    -4.94239743750232e+01    2.05142366501914e+02     -5.93029007148611e+02    
39532000.0000000         3435000.0000000          100.0000000              -4.72362063941798e-03    -6.20541293664543e+01    2.29444040231630e+02     -6.11008051647511e+02    
39532100.0000000         3435000.0000000          100.0000000              -4.71651182370476e-03    -8.11929374684477e+01    2.53462489225642e+02     -6.27359211664130e+02    
39532200.0000000         3435000.0000000          100.0000000              -4.70716518774731e-03    -1.06828388298950e+02    2.75378778000858e+02     -6.40823264240973e+02    
39532300.0000000         3435000.0000000          100.0000000              -4.69493823460770e-03    -1.38671464408988e+02    2.93393408389783e+02     -6.49743002388025e+02    
39532400.0000000         3435000.0000000          100.0000000              -4.67926486688774e-03    -1.75450650221820e+02    3.05857944754193e+02     -6.52328352290592e+02    
39532500.0000000         3435000.0000000          100.0000000              -4.65975705278226e-03    -2.14943927242908e+02    3.11436360825384e+02     -6.47365992865919e+02    
39532600.0000000         3435000.0000000          100.0000000              -4.63627719413427e-03    -2.54375417675368e+02    3.09232623751759e+02     -6.34366693146751e+02    
39532700.0000000         3435000.0000000          100.0000000              -4.60899412929217e-03    -2.90479459821097e+02    2.99208513165019e+02     -6.13917296276721e+02    
39532800.0000000         3435000.0000000          100.0000000              -4.57838316870289e-03    -3.20594036457855e+02    2.82460006791341e+02     -5.87915800326111e+02    
39532900.0000000         3435000.0000000          100.0000000              -4.54511600777984e-03    -3.43517567388326e+02    2.60568650711964e+02     -5.58714780366707e+02    
39533000.0000000         3435000.0000000          100.0000000              -4.50992167817277e-03    -3.59175020779063e+02    2.35290744953436e+02     -5.28031992481621e+02    
39533100.0000000         3435000.0000000          100.0000000              -4.47352358416291e-03    -3.67556731444877e+02    2.08014238280211e+02     -4.97018636740617e+02    
39533200.0000000         3435000.0000000          100.0000000              -4.43665029065386e-03    -3.68759784311628e+02    1.80136093179294e+02     -4.67187074326679e+02    
39533300.0000000         3435000.0000000          100.0000000              -4.39999047083783e-03    -3.63439483202585e+02    1.53105735200765e+02     -4.39900301208562e+02    
39533400.0000000         3435000.0000000          100.0000000              -4.36413903747709e-03    -3.52822752742290e+02    1.28172849085008e+02     -4.16301965418607e+02    
39533500.0000000         3435000.0000000          100.0000000              -4.32955168773198e-03    -3.38431500986667e+02    1.06216418155371e+02     -3.97134347181049e+02    
39533600.0000000         3435000.0000000          100.0000000              -4.29652247012858e-03    -3.21953926888094e+02    8.76213106005051e+01     -3.82763348937953e+02    
39533700.0000000         3435000.0000000          100.0000000              -4.26517378976608e-03    -3.05067290958269e+02    7.24156222836882e+01     -3.72944464632772e+02    
39533800.0000000         3435000.0000000          100.0000000              -4.23548210290855e-03    -2.88975923530430e+02    6.03223885832342e+01     -3.66976930421655e+02    
39533900.0000000         3435000.0000000          100.0000000              -4.20732543938471e-03    -2.74452377278081e+02    5.08422376798329e+01     -3.63993977744749e+02    
39534000.0000000         3435000.0000000          100.0000000              -4.18053231499262e-03    -2.61711339988456e+02    4.35416163678080e+01     -3.63172779275282e+02    
39534100.0000000         3435000.0000000          100.0000000              -4.15492019250718e-03    -2.50849075686653e+02    3.80246702283877e+01     -3.63979554801703e+02    
39534200.0000000         3435000.0000000          100.0000000              -4.13030141569692e-03    -2.41821514203099e+02    3.39659875781987e+01     -3.65873569676386e+02    
39534300.0000000         3435000.0000000          100.0000000              -4.10649866693639e-03    -2.34507559416179e+02    3.10753082120480e+01     -3.68484950542959e+02    
39534400.0000000         3435000.0000000          100.0000000              -4.08334784099986e-03    -2.28757461049851e+02    2.91153301434291e+01     -3.71514890517732e+02    
39534500.0000000         3435000.0000000          100.0000000              -4.06070036277951e-03    -2.24406544054163e+02    2.78682242471029e+01     -3.74702034828406e+02    
39534600.0000000         3435000.0000000          100.0000000              -4.03842798537358e-03    -2.21215470399207e+02    2.71066779555483e+01     -3.77849998680514e+02    
39534700.0000000         3435000.0000000          100.0000000              -4.01642535470326e-03    -2.18986530407986e+02    2.67276801033242e+01     -3.80891303531988e+02    
39534800.0000000         3435000.0000000          100.0000000              -3.99460324217166e-03    -2.17578392444404e+02    2.66241624689504e+01     -3.83771060213678e+02    
39534900.0000000         3435000.0000000          100.0000000              -3.97288522785203e-03    -2.16905230890448e+02    2.66864733047040e+01     -3.86486320604698e+02    
39535000.0000000         3435000.0000000          100.0000000              -3.95120018033592e-03    -2.16892113296921e+02    2.68145515691930e+01     -3.88924042416162e+02    
39531000.0000000         3435100.0000000          100.0000000              -4.78151095985187e-03    -6.48518872869692e+01    6.45238673632984e+01     -4.93791481938237e+02    
39531100.0000000         3435100.0000000          100.0000000              -4.77537924124650e-03    -5.77154487324677e+01    7.17600372858818e+01     -4.99641731332761e+02    
39531200.0000000         3435100.0000000          100.0000000              -4.76997786222522e-03    -5.02763550480710e+01    8.05234974658295e+01     -5.06980847429413e+02    
39531300.0000000         3435100.0000000          100.0000000              -4.76532854723124e-03    -4.26942328366546e+01    9.11236857542800e+01     -5.15982089587885e+02    
39531400.0000000         3435100.0000000          100.0000000              -4.76143867436633e-03    -3.51390540324723e+01    1.03879344957922e+02     -5.26977337655137e+02    
39531500.0000000         3435100.0000000          100.0000000              -4.75828462278166e-03    -2.80807978350074e+01    1.19049324107104e+02     -5.40401350503074e+02    
39531600.0000000         3435100.0000000          100.0000000              -4.75577697119048e-03    -2.23767134345613e+01    1.36882608659737e+02     -5.56545114007080e+02    
39531700.0000000         3435100.0000000          100.0000000              -4.75373446149102e-03    -1.89368477116653e+01    1.57555829705532e+02     -5.75402840394707e+02    
39531800.0000000         3435100.0000000          100.0000000              -4.75187496856512e-03    -1.89509970334200e+01    1.80975409510973e+02     -5.96954827266023e+02    
39531900.0000000         3435100.0000000          100.0000000              -4.74977481996313e-03    -2.40424128807408e+01    2.06732457605972e+02     -6.20732537888900e+02    
39532000.0000000         3435100.0000000          100.0000000              -4.74684248914679e-03    -3.58550321226216e+01    2.34104653812087e+02     -6.45590794271888e+02    
39532100.0000000         3435100.0000000          100.0000000              -4.74233196428049e-03    -5.58067176540411e+01    2.61904084719884e+02     -6.69716159865575e+02    
39532200.0000000         3435100.0000000          100.0000000              -4.73538857029633e-03    -8.44874321339157e+01    2.88030508206426e+02     -6.90446297423038e+02    
39532300.0000000         3435100.0000000          100.0000000              -4.72516469274390e-03    -1.21230585034270e+02    3.10110960245976e+02     -7.05354884059257e+02    
39532400.0000000         3435100.0000000          100.0000000              -4.71091827284663e-03    -1.64621026084016e+02    3.26234197430153e+02     -7.12280259439124e+02    
39532500.0000000         3435100.0000000          100.0000000              -4.69210732971666e-03    -2.12021573774704e+02    3.34657778310370e+02     -7.09404810547468e+02    
39532600.0000000         3435100.0000000          100.0000000              -4.66848734849540e-03    -2.60163433454350e+02    3.34163795896232e+02     -6.95644280504121e+02    
39532700.0000000         3435100.0000000          100.0000000              -4.64020583840028e-03    -3.04423039190801e+02    3.24349129615301e+02     -6.71242198817547e+02    
39532800.0000000         3435100.0000000          100.0000000              -4.60785205214399e-03    -3.41235055081782e+02    3.06357405383053e+02     -6.39116072399623e+02    
39532900.0000000         3435100.0000000          100.0000000              -4.57227028489812e-03    -3.68794133813157e+02    2.82060778189357e+02     -6.02366434578395e+02    
39533000.0000000         3435100.0000000          100.0000000              -4.53439868306846e-03    -3.87208912530826e+02    2.53848617138069e+02     -5.63978660986502e+02    
39533100.0000000         3435100.0000000          100.0000000              -4.49511221396983e-03    -3.97061088140687e+02    2.23388685489955e+02     -5.25155687171919e+02    
39533200.0000000         3435100.0000000          100.0000000              -4.45528077884351e-03    -3.98133738108726e+02    1.92159656140304e+02     -4.87449309397047e+02    
39533300.0000000         3435100.0000000          100.0000000              -4.41575623925855e-03    -3.91124829279825e+02    1.61947706292586e+02     -4.52895913234466e+02    
39533400.0000000         3435100.0000000          100.0000000              -4.37727411538181e-03    -3.77587065449704e+02    1.34330010152741e+02     -4.23125129464747e+02    
39533500.0000000         3435100.0000000          100.0000000              -4.34038620150562e-03    -3.59631605229139e+02    1.10325063052285e+02     -3.99236218422115e+02    
39533600.0000000         3435100.0000000          100.0000000              -4.30542048053525e-03    -3.39485332965706e+02    9.02555983074643e+01     -3.81436475848977e+02    
39533700.0000000         3435100.0000000          100.0000000              -4.27249686632668e-03    -3.19090925005681e+02    7.40163555462460e+01     -3.69382688602405e+02    
39533800.0000000         3435100.0000000          100.0000000              -4.24155942826082e-03    -2.99962977923173e+02    6.12325697543376e+01     -3.62156875003337e+02    
39533900.0000000         3435100.0000000          100.0000000              -4.21243345487716e-03    -2.82934211707413e+02    5.13615243830822e+01     -3.58532524989110e+02    
39534000.0000000         3435100.0000000          100.0000000              -4.18489692331583e-03    -2.68173399826894e+02    4.38133921608079e+01     -3.57492369100767e+02    
39534100.0000000         3435100.0000000          100.0000000              -4.15872372730779e-03    -2.55657492248825e+02    3.81207486969053e+01     -3.58335393424049e+02    
39534200.0000000         3435100.0000000          100.0000000              -4.13369361046289e-03    -2.45291504356115e+02    3.39518687271307e+01     -3.60498860725810e+02    
39534300.0000000         3435100.0000000          100.0000000              -4.10959889420544e-03    -2.36923058167337e+02    3.10010734178830e+01     -3.63524361307665e+02    
39534400.0000000         3435100.0000000          100.0000000              -4.08624858016094e-03    -2.30365914792034e+02    2.89656560488810e+01     -3.67040533160091e+02    
39534500.0000000         3435100.0000000          100.0000000              -4.06347110027714e-03    -2.25439388479523e+02    2.76118840339785e+01     -3.70743309987531e+02    
39534600.0000000         3435100.0000000          100.0000000              -4.04111742369134e-03    -2.21822910678169e+02    2.67483843966947e+01     -3.74342019145332e+02    
39534700.0000000         3435100.0000000          100.0000000              -4.01907115306342e-03    -2.19269453927601e+02    2.62511650296762e+01     -3.77834909948816e+02    
39534800.0000000         3435100.0000000          100.0000000              -3.99723267017966e-03    -2.17641895808610e+02    2.60149844959733e+01     -3.81169718540070e+02    
39534900.0000000         3435100.0000000          100.0000000              -3.97551450720014e-03    -2.16859196631860e+02    2.59363039008145e+01     -3.84290453559290e+02    
39535000.0000000         3435100.0000000          100.0000000              -3.95383739166599e-03    -2.16778171647996e+02    2.59615111883914e+01     -3.87033233207103e+02    
39531000.0000000         3435200.0000000          100.0000000              -4.78769643581531e-03    -5.85018227822600e+01    5.90471431589371e+01     -4.94837069179769e+02    
39531100.0000000         3435200.0000000          100.0000000              -4.78226711523291e-03    -4.99701802339137e+01    6.58278188439627e+01     -5.01396990850471e+02    
39531200.0000000         3435200.0000000          100.0000000              -4.77772252448404e-03    -4.08347377635016e+01    7.41509334437269e+01     -5.09750738385752e+02    
39531300.0000000         3435200.0000000          100.0000000              -4.77411652431845e-03    -3.12084095970003e+01    8.43517594200813e+01     -5.20190480028197e+02    
39531400.0000000         3435200.0000000          100.0000000              -4.77149067178964e-03    -2.12962922701525e+01    9.67880976610663e+01     -5.33219173514622e+02    
39531500.0000000         3435200.0000000          100.0000000              -4.76985085556467e-03    -1.15901804228692e+01    1.11794201817331e+02     -5.49358525743414e+02    
