x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39534800.0000000         3434800.0000000          100.0000000              2.06800394377627e-02     2.86778759613830e-02     1.17386712131261e-02     2.86778759617225e-02     -1.76777699415028e-02    3.55591746466975e-02     1.17386712138467e-02     3.55591746481677e-02     -3.00226949866776e-03    
39534900.0000000         3434800.0000000          100.0000000              1.52606414618335e-02     2.65694035314501e-02     1.04047285083598e-02     2.65694035281723e-02     -1.37965332021082e-02    3.23873716162294e-02     1.04047285049111e-02     3.23873716089594e-02     -1.46410825800780e-03    
39535000.0000000         3434800.0000000          100.0000000              1.05727768284546e-02     2.44063973622153e-02     1.03118255955368e-02     2.44063973737930e-02     -1.06837051689874e-02    2.99862873972722e-02     1.03118256119881e-02     2.99862874281435e-02     1.10928336613640e-04     
39531000.0000000         3434900.0000000          100.0000000              4.87876448959028e-02     2.07081336867364e-02     -6.21561647134132e-02    2.07081336836407e-02     -3.85134203184782e-02    -5.51174787770585e-03    -6.21561647150934e-02    -5.51174787229899e-03    -1.02742245748169e-02    
39531100.0000000         3434900.0000000          100.0000000              4.83173831910095e-02     2.61418094037262e-02     -7.49855738152874e-02    2.61418093975834e-02     -4.37678954154449e-02    -1.19174810192827e-02    -7.49855738212313e-02    -1.19174810099270e-02    -4.54948777803169e-03    
39531200.0000000         3434900.0000000          100.0000000              4.60888477022430e-02     3.24765579137122e-02     -8.77554708013394e-02    3.24765579172882e-02     -4.94364719980728e-02    -1.96212157480521e-02    -8.77554707966423e-02    -1.96212157544098e-02    3.34762429906893e-03     
39531300.0000000         3434900.0000000          100.0000000              4.29947574414684e-02     3.99863200207512e-02     -1.02337272185395e-01    3.99863200188826e-02     -5.53235781276160e-02    -2.98827820930323e-02    -1.02337272187260e-01    -2.98827820896760e-02    1.23288206895692e-02     
39531400.0000000         3434900.0000000          100.0000000              3.66988096594940e-02     4.79984922609762e-02     -1.20204974855707e-01    4.79984922601714e-02     -6.14421736437374e-02    -4.34003125480772e-02    -1.20204974855330e-01    -4.34003125470129e-02    2.47433639816352e-02     
39531500.0000000         3434900.0000000          100.0000000              2.41381691947106e-02     5.60120390165344e-02     -1.39200369585908e-01    5.60120390180815e-02     -6.77451015390529e-02    -6.02577463229906e-02    -1.39200369584988e-01    -6.02577463240695e-02    4.36069323426881e-02     
39531600.0000000         3434900.0000000          100.0000000              6.37698887881718e-03     6.38204107596645e-02     -1.55783324225428e-01    6.38204107598721e-02     -7.37370193778037e-02    -8.09497038941641e-02    -1.55783324224684e-01    -8.09497038945303e-02    6.73600305079043e-02     
39531700.0000000         3434900.0000000          100.0000000              -1.69670394622405e-02    7.03982831177374e-02     -1.72124625698981e-01    7.03982831107341e-02     -7.94052685112766e-02    -1.06770125584258e-01    -1.72124625705975e-01    -1.06770125575608e-01    9.63723079649929e-02     
39531800.0000000         3434900.0000000          100.0000000              -4.85362429300802e-02    7.38599601913758e-02     -1.85051001144469e-01    7.38599601933159e-02     -8.53239409420848e-02    -1.37307671947290e-01    -1.85051001141803e-01    -1.37307671950219e-01    1.33860183878272e-01     
39531900.0000000         3434900.0000000          100.0000000              -8.81335763420611e-02    7.20819957001713e-02     -1.90063751174750e-01    7.20819957842843e-02     -9.14957359479707e-02    -1.71915569499371e-01    -1.90063751074043e-01    -1.71915569559722e-01    1.79629312291108e-01     
39532000.0000000         3434900.0000000          100.0000000              -1.33410005902687e-01    6.28024911574396e-02     -1.82162598559601e-01    6.28024911580921e-02     -9.75813025110026e-02    -2.07167277816644e-01    -1.82162598558843e-01    -2.07167277816706e-01    2.30991308408511e-01     
39532100.0000000         3434900.0000000          100.0000000              -1.76964621634961e-01    4.70769106116053e-02     -1.61437500071084e-01    4.70769106031474e-02     -1.01965751004692e-01    -2.40140057768824e-01    -1.61437500083588e-01    -2.40140057762941e-01    2.78930372644346e-01     
39532200.0000000         3434900.0000000          100.0000000              -2.19526852420384e-01    2.28461182883403e-02     -1.28402103736027e-01    2.28461182907827e-02     -1.06651207173665e-01    -2.70824834598682e-01    -1.28402103733508e-01    -2.70824834600471e-01    3.26178059600914e-01     
39532300.0000000         3434900.0000000          100.0000000              -2.53333362202621e-01    -9.34099342285296e-03    -8.06269786241312e-02    -9.34099340238222e-03    -1.14772482913771e-01    -2.93895319507089e-01    -8.06269785972348e-02    -2.93895319530293e-01    3.68105845118045e-01     
39532400.0000000         3434900.0000000          100.0000000              -2.72243630837273e-01    -4.68031268083818e-02    -2.05135495938895e-02    -4.68031268115709e-02    -1.26671059971598e-01    -3.04618638381984e-01    -2.05135495984388e-02    -3.04618638377751e-01    3.98914690799381e-01     
39532500.0000000         3434900.0000000          100.0000000              -2.72062159675252e-01    -8.62263275214623e-02    4.62546007688192e-02     -8.62263275240274e-02    -1.41134148112132e-01    -3.00687159953325e-01    4.62546007651898e-02     -3.00687159950960e-01    4.13196307783072e-01     
39532600.0000000         3434900.0000000          100.0000000              -2.51786044155098e-01    -1.23211434309341e-01    1.11555279335069e-01     -1.23211434304751e-01    -1.57312225750393e-01    -2.81304693266395e-01    1.11555279342295e-01     -2.81304693271823e-01    4.09098269905692e-01     
39532700.0000000         3434900.0000000          100.0000000              -2.13146024873256e-01    -1.52125688109243e-01    1.70529821597108e-01     -1.52125688112119e-01    -1.75589403571033e-01    -2.47224721609145e-01    1.70529821593963e-01     -2.47224721608372e-01    3.88735428440028e-01     
39532800.0000000         3434900.0000000          100.0000000              -1.62994570976436e-01    -1.69496064270506e-01    2.14799923670437e-01     -1.69496064266833e-01    -1.92745940570288e-01    -2.04955251963692e-01    2.14799923674105e-01     -2.04955251966208e-01    3.55740511548000e-01     
39532900.0000000         3434900.0000000          100.0000000              -1.08293842253606e-01    -1.76256840780562e-01    2.45111521932995e-01     -1.76256840740878e-01    -2.08010071773561e-01    -1.58924843277266e-01    2.45111521987287e-01     -1.58924843296093e-01    3.16303914025153e-01     
39533000.0000000         3434900.0000000          100.0000000              -5.34113152036754e-02    -1.73674701066271e-01    2.63692022300858e-01     -1.73674701071745e-01    -2.19941306460872e-01    -1.10310183983472e-01    2.63692022292339e-01     -1.10310183982940e-01    2.73352621672183e-01     
39533100.0000000         3434900.0000000          100.0000000              1.46586696232298e-03     -1.61693415201647e-01    2.69828499555880e-01     -1.61693415208060e-01    -2.26511262019213e-01    -6.20072736275983e-02    2.69828499546724e-01     -6.20072736317086e-02    2.25045395058198e-01     
