x(m)                     y(m)                     z(m)                     Txx(nT/m)                Tyx(nT/m)                Tzx(nT/m)                Txy(nT/m)                Tyy(nT/m)                Tzy(nT/m)                Txz(nT/m)                Tyz(nT/m)                Tzz(nT/m)                
39531000.0000000         3434900.0000000          100.0000000              4.43412696631678e-02     6.85689638590747e-02     -3.78160905491023e-02    6.85689638550259e-02     -3.41747892226764e-02    -1.03139616000639e-02    -3.78160905512613e-02    -1.03139615926686e-02    -1.01664804449595e-02    
39531100.0000000         3434900.0000000          100.0000000              4.45550844816683e-02     8.14020197605517e-02     -4.76975000292257e-02    8.14020197514246e-02     -3.33422464070745e-02    -1.82054876325166e-02    -4.76975000390327e-02    -1.82054876174389e-02    -1.12128380710943e-02    
39531200.0000000         3434900.0000000          100.0000000              4.13742673374014e-02     9.55852943073864e-02     -5.75063938493934e-02    9.55852943127019e-02     -3.13684537706336e-02    -2.84168530460410e-02    -5.75063938424500e-02    -2.84168530557424e-02    -1.00058135637141e-02    
39531300.0000000         3434900.0000000          100.0000000              3.68604348127956e-02     1.11896253758660e-01     -6.69374470392420e-02    1.11896253756384e-01     -2.74076260304458e-02    -4.14640935290734e-02    -6.69374470416433e-02    -4.14640935247459e-02    -9.45280878022372e-03    
39531400.0000000         3434900.0000000          100.0000000              3.08088972804542e-02     1.30169902224761e-01     -7.84810262186138e-02    1.30169902223447e-01     -2.10862545232054e-02    -5.87271827693869e-02    -7.84810262181827e-02    -5.87271827676941e-02    -9.72264276277115e-03    
39531500.0000000         3434900.0000000          100.0000000              1.91342217130356e-02     1.49242942367391e-01     -9.26455191495658e-02    1.49242942370007e-01     -1.16393414026635e-02    -8.11353729941486e-02    -9.26455191479093e-02    -8.11353729963645e-02    -7.49488031071558e-03    
39531600.0000000         3434900.0000000          100.0000000              -4.52105583213662e-04    1.68109837008451e-01     -1.04241011682529e-01    1.68109837008006e-01     2.11673571211427e-03     -1.08683763336438e-01    -1.04241011681865e-01    -1.08683763336266e-01    -1.66463012561446e-03    
39531700.0000000         3434900.0000000          100.0000000              -2.50073115578018e-02    1.86135374003840e-01     -1.14522944993527e-01    1.86135373993842e-01     2.11967342486244e-02     -1.42113044885710e-01    -1.14522945003715e-01    -1.42113044873269e-01    3.81057730307604e-03     
39531800.0000000         3434900.0000000          100.0000000              -5.80201137117977e-02    2.00975537191619e-01     -1.23025893657662e-01    2.00975537196294e-01     4.57432389502604e-02     -1.82550147913231e-01    -1.23025893651918e-01    -1.82550147919648e-01    1.22768747710456e-02     
39531900.0000000         3434900.0000000          100.0000000              -1.01192744506958e-01    2.09578862159263e-01     -1.25653842427569e-01    2.09578862280995e-01     7.59087611002680e-02     -2.29624252240685e-01    -1.25653842281374e-01    -2.29624252328557e-01    2.52839834123720e-02     
39532000.0000000         3434900.0000000          100.0000000              -1.52287131721333e-01    2.06664271907461e-01     -1.16980381528014e-01    2.06664271906434e-01     1.10746852824393e-01     -2.81118183850255e-01    -1.16980381528254e-01    -2.81118183848650e-01    4.15402788959813e-02     
39532100.0000000         3434900.0000000          100.0000000              -2.02320258985409e-01    1.90708610836063e-01     -9.57060507277892e-02    1.90708610828080e-01     1.48765616143183e-01     -3.28723899812031e-01    -9.57060507417859e-02    -3.28723899807489e-01    5.35546428381683e-02     
39532200.0000000         3434900.0000000          100.0000000              -2.51428283639716e-01    1.62165025667690e-01     -6.54717496091949e-02    1.62165025672164e-01     1.87832660976909e-01     -3.72577879393117e-01    -6.54717496045181e-02    -3.72577879396040e-01    6.35956226697200e-02     
39532300.0000000         3434900.0000000          100.0000000              -2.93409969669268e-01    1.19628808465681e-01     -2.26510924607269e-02    1.19628808504989e-01     2.24239260046359e-01     -4.09218715284833e-01    -2.26510924068571e-02    -4.09218715331830e-01    6.91707096253671e-02     
39532400.0000000         3434900.0000000          100.0000000              -3.20537897745581e-01    6.41525393173011e-02     3.01755942739010e-02     6.41525393110907e-02     2.54160023819191e-01     -4.32602716604579e-01    3.01755942649211e-02     -4.32602716596394e-01    6.63778739279214e-02     
39532500.0000000         3434900.0000000          100.0000000              -3.27976371516181e-01    1.06164572189194e-03     8.86216679752929e-02     1.06164571618672e-03     2.73005134728880e-01     -4.38598413629055e-01    8.86216679683615e-02     -4.38598413623777e-01    5.49712367881035e-02     
39532600.0000000         3434900.0000000          100.0000000              -3.11023268104125e-01    -6.43616939906163e-02    1.44742392113186e-01     -6.43616939795196e-02    2.78947347810566e-01     -4.25288163177744e-01    1.44742392131359e-01     -4.25288163190075e-01    3.20759202849410e-02     
39532700.0000000         3434900.0000000          100.0000000              -2.73080768000467e-01    -1.25582204424279e-01    1.93075064480054e-01     -1.25582204427174e-01    2.72126423103243e-01     -3.94507868869853e-01    1.93075064477636e-01     -3.94507868870238e-01    9.54344900116902e-04     
39532800.0000000         3434900.0000000          100.0000000              -2.19715074923941e-01    -1.74717245342124e-01    2.24477343916647e-01     -1.74717245335350e-01    2.55158643131309e-01     -3.49079261791942e-01    2.24477343924243e-01     -3.49079261796443e-01    -3.54435682078906e-02    
39532900.0000000         3434900.0000000          100.0000000              -1.61297329863277e-01    -2.09648756642401e-01    2.41737448162578e-01     -2.09648756551881e-01    2.30487795318598e-01     -2.97514410669431e-01    2.41737448288422e-01     -2.97514410713239e-01    -6.91904654567958e-02    
39533000.0000000         3434900.0000000          100.0000000              -1.01539362834693e-01    -2.33360198714032e-01    2.47403746997995e-01     -2.33360198727125e-01    2.01051968536948e-01     -2.43035201936496e-01    2.47403746977644e-01     -2.43035201933951e-01    -9.95126056989505e-02    
39533100.0000000         3434900.0000000          100.0000000              -4.23114103967308e-02    -2.43783063776288e-01    2.43155824357738e-01     -2.43783063787443e-01    1.67834333353358e-01     -1.85851435475436e-01    2.43155824342702e-01     -1.85851435481046e-01    -1.25522922964640e-01    
39533200.0000000         3434900.0000000          100.0000000              1.45352889812240e-02     -2.42356746676947e-01    2.28119479663861e-01     -2.42356746675885e-01    1.33615749767643e-01     -1.31858661334985e-01    2.28119479662586e-01     -1.31858661336168e-01    -1.48151038759533e-01    
39533300.0000000         3434900.0000000          100.0000000              6.28508587164799e-02     -2.30492983131927e-01    2.02116709211826e-01     -2.30492983125976e-01    1.01218443167246e-01     -8.15885095997276e-02    2.02116709215086e-01     -8.15885095951473e-02    -1.64069301883549e-01    
39533400.0000000         3434900.0000000          100.0000000              1.00851002767028e-01     -2.09725403644046e-01    1.70381399322866e-01     -2.09725403646925e-01    7.28706038314646e-02     -3.79006964881845e-02    1.70381399319383e-01     -3.79006964892801e-02    -1.73721606595493e-01    
39533500.0000000         3434900.0000000          100.0000000              1.25956736918032e-01     -1.83217708171742e-01    1.33907645065540e-01     -1.83217708142305e-01    4.95049434829519e-02     -2.29902139252415e-03    1.33907645101595e-01     -2.29902136571487e-03    -1.75461680398593e-01    
39533600.0000000         3434900.0000000          100.0000000              1.37546847648226e-01     -1.53817104509653e-01    9.64823046124804e-02     -1.53817104506885e-01    3.14886638276671e-02     2.36939620866669e-02     9.64823046146402e-02     2.36939620881331e-02     -1.69035511474688e-01    
39533700.0000000         3434900.0000000          100.0000000              1.37271644053880e-01     -1.25462940880979e-01    6.35267339931596e-02     -1.25462940826706e-01    1.82535035188681e-02     4.04857346180249e-02     6.35267340639758e-02     4.04857346504251e-02     -1.55525147580466e-01    
39533800.0000000         3434900.0000000          100.0000000              1.29212962379919e-01     -9.99333257407495e-02    3.55636005689952e-02     -9.99333257032462e-02    9.15545820698353e-03     5.03036008047024e-02     3.55636006098318e-02     5.03036008345196e-02     -1.38368420594487e-01    
39533900.0000000         3434900.0000000          100.0000000              1.15650019868890e-01     -7.84707547592633e-02    1.43221832153104e-02     -7.84707547589284e-02    2.59554225056322e-03     5.49734365012340e-02     1.43221832170033e-02     5.49734364966643e-02     -1.18245562124308e-01    
39534000.0000000         3434900.0000000          100.0000000              1.01069805198194e-01     -6.05860441237421e-02    -1.53895603812465e-03    -6.05860441145482e-02    -1.64363757620234e-03    5.67917828849362e-02     -1.53895602860496e-03    5.67917829012734e-02     -9.94261676226583e-02    
39534100.0000000         3434900.0000000          100.0000000              8.50928419530780e-02     -4.55789571469164e-02    -1.28628835717338e-02    -4.55789571681737e-02    -4.24810475967416e-03    5.65178750946365e-02     -1.28628835924424e-02    5.65178750531998e-02     -8.08447371931345e-02    
39534200.0000000         3434900.0000000          100.0000000              7.01265128606207e-02     -3.31709369179192e-02    -2.02122129327124e-02    -3.31709369128393e-02    -6.06077999744665e-03    5.44574803453714e-02     -2.02122129264795e-02    5.44574803573407e-02     -6.40657328625590e-02    
