x(m)                     y(m)                     z(m)                     Magnetic_Potential       Magnetic_x(nT)           Magnetic_y(nT)           Magnetic_z(nT)           
39532900.0000000         3434900.0000000          100.0000000              -1.59990664991415e-05    -3.17367036639088e+02    -2.35505731836611e+02    -1.69515893230635e+02    
39533000.0000000         3434900.0000000          100.0000000              1.61873713506494e-05     -3.25447519240842e+02    -2.53081332667105e+02    -1.43989001211921e+02    
39533100.0000000         3434900.0000000          100.0000000              4.89069998573328e-05     -3.28027579634566e+02    -2.69918535396542e+02    -1.17184565637159e+02    
39533200.0000000         3434900.0000000          100.0000000              8.16168603672863e-05     -3.25343597815980e+02    -2.85187696095033e+02    -9.04882463484978e+01    
39533300.0000000         3434900.0000000          100.0000000              1.13825096046012e-04     -3.18155828033703e+02    -2.98203719333842e+02    -6.51420465091448e+01    
39533400.0000000         3434900.0000000          100.0000000              1.45130570641461e-04     -3.07456059941013e+02    -3.08431464550684e+02    -4.20587031167968e+01    
39533500.0000000         3434900.0000000          100.0000000              1.75238810789782e-04     -2.94427687296056e+02    -3.15656409092663e+02    -2.19825193498829e+01    
39533600.0000000         3434900.0000000          100.0000000              2.03980254070726e-04     -2.80327112523889e+02    -3.19966285536999e+02    -5.25482454747024e+00    
39533700.0000000         3434900.0000000          100.0000000              2.31307016793761e-04     -2.66289375385757e+02    -3.21740977851445e+02    8.22315128382638e+00     
39533800.0000000         3434900.0000000          100.0000000              2.57265673974527e-04     -2.53068134375188e+02    -3.21459476296048e+02    1.88170169198353e+01     
39533900.0000000         3434900.0000000          100.0000000              2.81964772595077e-04     -2.41151497474226e+02    -3.19660173323103e+02    2.70281319349542e+01     
39534000.0000000         3434900.0000000          100.0000000              3.05543356141925e-04     -2.30662195079927e+02    -3.16776595144052e+02    3.33750337432391e+01     
39534100.0000000         3434900.0000000          100.0000000              3.28146307964647e-04     -2.21635570697054e+02    -3.13148346070616e+02    3.82398645597956e+01     
39534200.0000000         3434900.0000000          100.0000000              3.49915631042849e-04     -2.13967293093285e+02    -3.09081958037327e+02    4.19727419773130e+01     
